U.S. Energy Information Administration,,,,,,,,,,,,,
July 2024 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: July 29, 2024",,,,,,,,,,,,,
"Next Update: August 27, 2024",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 10.2a Renewable Energy Consumption:  Residential and Commercial Sectors,,,,,,,,,,,,,
,,,,,,,,,,,,,
Annual Total,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1949,Not Available,Not Available,1055.186,1055.186,Not Available,Not Available,Not Available,Not Available,19.986,Not Available,Not Available,19.986,19.986
1950,Not Available,Not Available,1005.529,1005.529,Not Available,Not Available,Not Available,Not Available,19.075,Not Available,Not Available,19.075,19.075
1951,Not Available,Not Available,958.212,958.212,Not Available,Not Available,Not Available,Not Available,18.198,Not Available,Not Available,18.198,18.198
1952,Not Available,Not Available,899.164,899.164,Not Available,Not Available,Not Available,Not Available,17.114,Not Available,Not Available,17.114,17.114
1953,Not Available,Not Available,831.947,831.947,Not Available,Not Available,Not Available,Not Available,15.738,Not Available,Not Available,15.738,15.738
1954,Not Available,Not Available,799.748,799.748,Not Available,Not Available,Not Available,Not Available,15.17,Not Available,Not Available,15.17,15.17
1955,Not Available,Not Available,775.066,775.066,Not Available,Not Available,Not Available,Not Available,14.706,Not Available,Not Available,14.706,14.706
1956,Not Available,Not Available,738.706,738.706,Not Available,Not Available,Not Available,Not Available,14.018,Not Available,Not Available,14.018,14.018
1957,Not Available,Not Available,701.812,701.812,Not Available,Not Available,Not Available,Not Available,13.33,Not Available,Not Available,13.33,13.33
1958,Not Available,Not Available,688.447,688.447,Not Available,Not Available,Not Available,Not Available,13.089,Not Available,Not Available,13.089,13.089
1959,Not Available,Not Available,646.926,646.926,Not Available,Not Available,Not Available,Not Available,12.298,Not Available,Not Available,12.298,12.298
1960,Not Available,Not Available,626.63,626.63,Not Available,Not Available,Not Available,Not Available,11.868,Not Available,Not Available,11.868,11.868
1961,Not Available,Not Available,586.864,586.864,Not Available,Not Available,Not Available,Not Available,11.146,Not Available,Not Available,11.146,11.146
1962,Not Available,Not Available,560.084,560.084,Not Available,Not Available,Not Available,Not Available,10.63,Not Available,Not Available,10.63,10.63
1963,Not Available,Not Available,536.967,536.967,Not Available,Not Available,Not Available,Not Available,10.165,Not Available,Not Available,10.165,10.165
1964,Not Available,Not Available,499.058,499.058,Not Available,Not Available,Not Available,Not Available,9.46,Not Available,Not Available,9.46,9.46
1965,Not Available,Not Available,468.15,468.15,Not Available,Not Available,Not Available,Not Available,8.858,Not Available,Not Available,8.858,8.858
1966,Not Available,Not Available,454.974,454.974,Not Available,Not Available,Not Available,Not Available,8.617,Not Available,Not Available,8.617,8.617
1967,Not Available,Not Available,433.973,433.973,Not Available,Not Available,Not Available,Not Available,8.325,Not Available,Not Available,8.325,8.325
1968,Not Available,Not Available,425.511,425.511,Not Available,Not Available,Not Available,Not Available,8.136,Not Available,Not Available,8.136,8.136
1969,Not Available,Not Available,415.053,415.053,Not Available,Not Available,Not Available,Not Available,7.86,Not Available,Not Available,7.86,7.86
1970,Not Available,Not Available,400.777,400.777,Not Available,Not Available,Not Available,Not Available,7.534,Not Available,Not Available,7.534,7.534
1971,Not Available,Not Available,381.874,381.874,Not Available,Not Available,Not Available,Not Available,7.19,Not Available,Not Available,7.19,7.19
1972,Not Available,Not Available,379.776,379.776,Not Available,Not Available,Not Available,Not Available,7.19,Not Available,Not Available,7.19,7.19
1973,Not Available,Not Available,354.096,354.096,Not Available,Not Available,Not Available,Not Available,6.708,Not Available,Not Available,6.708,6.708
1974,Not Available,Not Available,370.952,370.952,Not Available,Not Available,Not Available,Not Available,7.018,Not Available,Not Available,7.018,7.018
1975,Not Available,Not Available,425.408,425.408,Not Available,Not Available,Not Available,Not Available,8.067,Not Available,Not Available,8.067,8.067
1976,Not Available,Not Available,481.634,481.634,Not Available,Not Available,Not Available,Not Available,9.099,Not Available,Not Available,9.099,9.099
1977,Not Available,Not Available,541.783,541.783,Not Available,Not Available,Not Available,Not Available,10.286,Not Available,Not Available,10.286,10.286
1978,Not Available,Not Available,621.849,621.849,Not Available,Not Available,Not Available,Not Available,11.834,Not Available,Not Available,11.834,11.834
1979,Not Available,Not Available,728.076,728.076,Not Available,Not Available,Not Available,Not Available,13.812,Not Available,Not Available,13.812,13.812
1980,Not Available,Not Available,850,850,Not Available,Not Available,Not Available,Not Available,21,Not Available,Not Available,21,21
1981,Not Available,Not Available,870,870,Not Available,Not Available,Not Available,Not Available,21,Not Available,0.05,21.05,21.05
1982,Not Available,Not Available,970,970,Not Available,Not Available,Not Available,Not Available,22,Not Available,0.13,22.13,22.13
1983,Not Available,Not Available,970,970,Not Available,Not Available,Not Available,Not Available,22,Not Available,0.276,22.276,22.276
1984,Not Available,Not Available,980,980,Not Available,Not Available,Not Available,Not Available,22,Not Available,0.351,22.351,22.351
1985,Not Available,Not Available,1010,1010,Not Available,Not Available,Not Available,Not Available,24,Not Available,0.374,24.374,24.374
1986,Not Available,Not Available,920,920,Not Available,Not Available,Not Available,Not Available,27,Not Available,0.464,27.464,27.464
1987,Not Available,Not Available,850,850,Not Available,Not Available,Not Available,Not Available,29,Not Available,0.542,29.542,29.542
1988,Not Available,Not Available,910,910,Not Available,Not Available,Not Available,Not Available,32,Not Available,0.537,32.537,32.537
1989,5,51.581,920,976.581,0.224,2.5,0.048,No Data Reported,76.485,21.995,0.505,98.985,101.757
1990,5.5,54.642,580,640.142,0.47,2.8,0.055,No Data Reported,65.738,27.765,0.495,93.998,97.323
1991,5.9,56.355,610,672.255,0.448,3,0.062,No Data Reported,68.44,26.485,0.442,95.367,98.876
1992,6.4,58.373,640,704.773,0.418,3.2,0.068,No Data Reported,72.027,32.452,0.463,104.942,108.628
1993,6.8,60.013,550,616.813,0.34,3.4,0.074,No Data Reported,75.597,33.392,0.196,109.185,113
1994,6.2,61.648,520,587.848,0.317,4.2,0.083,No Data Reported,71.715,34.522,0.185,106.422,111.022
1995,6.6,62.585,520,589.185,0.404,4.5,0.095,No Data Reported,72.379,40.198,0.14,112.717,117.715
1996,7,63.14,540,610.14,0.429,5.3,0.109,No Data Reported,75.668,53.028,0.144,128.84,134.678
1997,7.5,62.279,430,499.779,0.41,5.7,0.122,No Data Reported,73.386,57.607,0.29,131.283,137.516
1998,7.7,61.572,380,449.272,0.411,7.1,0.138,No Data Reported,64.014,54.162,0.284,118.46,126.11
1999,8.5,60.124,390,458.624,0.391,6.7,0.161,No Data Reported,66.621,53.916,0.211,120.748,128
2000,8.6,57.442,420,486.042,0.34,7.6,0.183,No Data Reported,71.469,47.256,0.376,119.101,127.224
2001,9.45,54.846,370,434.296,0.227,8.27,0.221,No Data Reported,66.788,24.545,0.329,91.661,100.379
2002,10.204,52.915,380,443.119,0.044,8.753,0.262,No Data Reported,68.658,25.877,0.459,94.994,104.052
2003,13,51.375,400,464.375,0.246,11,0.305,No Data Reported,71.435,29.026,0.823,101.284,112.836
2004,14,50.596,410,474.596,0.358,12,0.378,No Data Reported,70.328,34.237,0.755,105.319,118.056
2005,15.9,49.368,430,495.268,0.294,13.6,0.568,No Data Reported,69.995,34.249,0.879,105.122,119.584
2006,18.3,51.351,380,449.651,0.319,14,0.828,No Data Reported,65.106,36.309,1.251,102.666,117.813
2007,22,53.431,420,495.431,0.264,14.4,1.169,No Data Reported,69.796,30.96,1.966,102.723,118.555
2008,26.4,55.852,470,552.252,0.205,14.8,1.879,No Data Reported,72.903,34.214,2.13,109.247,126.13
2009,32.8,56.4,504,593.2,0.242,16.7,2.525,0.001,72.595,36.355,2.821,111.771,131.238
2010,36.8,59.007,540.526,636.333,0.275,18.5,3.873,0.055,71.617,35.959,3.307,110.883,133.584
2011,39.6,62.234,524.264,626.097,0.087,19.7,6.582,0.173,69.159,42.543,2.899,114.601,141.144
2012,39.6,66.277,438.095,543.972,0.094,19.7,10.951,0.184,60.683,45.247,2.553,108.483,139.411
2013,39.6,71.707,571.655,682.962,0.15,19.7,15.014,0.207,70.164,47.076,2.666,119.906,154.977
2014,39.6,79.243,578.535,697.378,0.131,19.7,18.821,0.363,76.289,46.963,3.631,126.883,165.899
2015,39.6,86.876,512.736,639.212,0.119,19.7,20.832,0.404,79.288,47.029,25.588,151.905,192.961
2016,39.6,99.834,444.642,584.076,0.741,19.7,22.816,0.449,83.74,48.131,25.798,157.67,201.375
2017,39.6,112.522,429.579,581.701,0.818,19.7,27.998,0.492,83.73,47.506,25.15,156.386,205.394
2018,39.6,123.436,524.859,687.895,0.776,19.814,35.224,0.594,84.073,46.924,25.477,156.474,212.882
2019,39.6,136.384,545.509,721.493,0.642,21.207,39.54,0.61,84.299,39.04,25.934,149.273,211.273
2020,39.6,151.205,345.091,535.896,0.729,21.232,45.875,0.573,82.95,37.854,26.182,146.986,215.395
2021,39.6,168.835,344.119,552.554,0.879,21.412,53.645,0.572,82.704,39.306,26.623,148.633,225.141
2022,39.6,199.659,422.484,661.743,0.898,19.7,62.756,0.59,83.045,75.059,31.507,189.611,273.556
2023,39.6,234.767,450.322,724.69,0.813,19.7,68.788,0.505,81.822,71.039,31.99,184.851,274.657
